	" ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА 
на душу населения и по основным социально-демографическим группам населения 
в целом по Российской Федерации и по субъектам Российской Федерации1)"																																																									
																																																								рублей в месяц		
	2013				2014				2015				2016				2017				2018				2019				2020				2021				 c 1 января 2022 г.				" c 1 июня 2022 г.
(с учетом индексации ВПМ на 10%)"				2023				2024				2025					
	Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения				
		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		
Российская Федерация	7 306	7 871	5 998	7 022	8 050	8 683	6 617	7 752	9 701	10 455	7 965	9 472	9 828	10 598	8 081	9 660	10 088	10 899	8 315	9 925	10 287	11 125	8 483	10 150	10 890	11 809	9 002	10 703	11 312	12 235	9 308	11 216	11 653	12 702	10 022	11 303	12 6542)	13 793	10 882	12 274	13 9193)	15 172	11 970	13 501	14 3754)	15 669	12 363	13 944	15 4535)	16 844	13 290	14 989	17 733	19 329	15 250	17 201		
Республика Карелия	8 324	9 043	6 751	7 525	9 319	10 113	7 859	8 751	11 671	12 702	9 824	10 911	12 099	13 180	10 166	11 305	12 528	13 646	10 517	11 716	12 863	14 007	10 760	12 105	13 648	14 862	11 443	12 806	14 166	15 394	11 837	13 461	14 467	15 713	12 783	13 819	15 104	16 463	13 345	14 651	16 614	18 109	14 680	16 116	17 877	19 486	15 374	17 341	18 681	20 362	16 066	18 121	19 684	21 456	16 928	19 093		
Республика Коми	9 161	9 779	7 393	8 990	10 439	11 104	8 497	10 395	11 443	12 201	9 304	11 372	12 113	12 905	9 821	12 298	12 405	13 258	10 112	12 513	12 776	13 690	10 430	12 887	13 707	14 773	11 298	13 619	14 337	15 467	11 735	14 396	14 567	15 715	12 645	14 701	15 368	16 751	13 340	15 510	16 905	18 426	14 674	17 061	17 463	19 035	15 158	17 624	18 389	20 044	15 961	18 558	20 393	22 228	17 538	19 781		
Архангельская область6)																																																										
    в том числе:																																																										
 Hенецкий авт.округ	14 816	15 592	12 093	15 499	16 517	17 226	13 437	17 707	18 577	19 340	15 086	20 027	19 458	20 257	15 810	20 962	20 791	21 817	16 930	21 946	20 488	21 541	16 704	21 502	19 993	21 008	16 345	20 969	21 848	23 061	17 821	22 701	22 219	23 423	19 353	23 215	23 108	25 188	20 127	24 144	25 419	27 707	22 140	26 558	26 817	29 231	23 063	28 019	28 024	30 546	24 101	29 280	29 389	32 034	25 275	30 706		
Архангельская область без авт. округа	9 512	10 240	7 858	9 040	10 756	11 549	9 009	10 284	12 963	13 922	10 834	12 418	12 217	13 167	10 172	11 862	11 700	12 693	9 734	11 465	11 857	12 886	9 872	11 650	12 707	13 858	10 596	12 426	13 422	14 614	11 118	13 262	13 857	15 048	12 014	13 815	14 679	16 000	12 624	14 368	16 147	17 600	13 886	15 805	16 675	18 176	14 341	16 327	17 925	19 538	15 416	17 387	20 570	22 421	17 690	19 953		
Вологодская область	7 408	8 013	6 075	7 025	8 341	9 001	6 887	7 984	10 010	10 806	8 239	9 735	10 249	11 075	8 454	10 049	10 581	11 434	8 751	10 340	10 795	11 708	8 957	10 658	11 038	12 022	9 194	10 838	11 469	12 458	9 477	11 390	11 767	12 761	10 221	11 732	12 781	13 931	10 992	12 398	14 059	15 324	12 091	13 638	14 519	15 826	12 486	14 083	15 608	17 013	13 423	15 140	17 910	19 522	15 403	17 373		
Калининградская область	7 052	7 601	5 818	6 602	7 802	8 393	6 447	7 354	9 664	10 359	7 914	9 351	10 067	10 793	8 257	9 715	10 510	11 272	8 639	10 104	10 882	11 647	8 896	10 626	11 413	12 272	9 382	10 837	11 832	12 695	9 666	11 442	12 067	13 153	10 378	11 705	13 034	14 207	11 209	12 643	14 337	15 628	12 330	13 907	14 806	16 139	12 733	14 362	15 917	17 350	13 689	15 439	18 265	19 909	15 708	17 717		
Ленинградская область	6 385	6 724	5 071	5 953	6 777	7 207	5 851	6 509	8 453	8 968	7 354	8 274	9 063	9 619	7 895	8 870	9 477	10 088	8 270	9 299	9 975	10 680	8 662	9 747	10 801	11 695	9 200	10 400	11 192	12 127	9 539	10 770	11 289	12 231	9 620	10 869	12 781	13 931	10 992	12 398	14 059	15 324	12 091	13 638	14 806	16 139	12 733	14 362	16 226	17 686	13 954	15 739	18 974	20 682	16 318	18 405		
Мурманская область	10 120	10 583	8 446	10 239	11 273	11 784	9 417	11 417	13 722	14 299	11 448	14 089	13 660	14 223	11 394	14 071	14 230	14 822	11 858	14 650	14 573	15 197	12 144	14 930	16 800	17 482	13 965	16 826	17 718	18 425	14 686	17 829	18 625	19 391	15 452	18 650	20 227	22 047	17 395	19 620	22 250	24 252	19 135	21 582	23 474	25 587	20 188	22 770	24 413	26 610	20 995	23 681	25 390	27 675	21 835	24 628		
Новгородская область	6 914	7 538	5 714	6 721	7 803	8 491	6 520	7 566	9 499	10 319	7 888	9 371	9 859	10 709	8 178	9 759	10 155	11 035	8 435	10 026	10 424	11 322	8 644	10 338	10 949	11 905	9 107	10 761	11 321	12 295	9 380	11 245	11 408	12 378	9 447	11 380	12 401	13 517	10 665	12 029	13 641	14 869	11 732	13 232	14 088	15 356	12 116	13 665	15 144	16 507	13 024	14 690	17 378	18 942	14 945	16 857		
Псковская область	7 197	7 825	5 975	6 941	8 207	8 918	6 822	7 926	10 266	11 142	8 499	10 028	10 517	11 417	8 690	10 299	10 545	11 438	8 722	10 336	10 586	11 499	8 772	10 421	11 055	12 004	9 153	10 774	11 432	12 395	9 416	11 302	11 807	12 790	9 692	11 779	12 527	13 654	10 773	12 250	13 780	15 019	11 850	13 475	14 231	15 512	12 239	13 920	15 298	16 675	13 156	14 839	17 556	19 136	15 098	17 029		
г. Санкт-Петербург	6 923	7 704	5 350	6 070	8 015	8 811	6 349	7 706	9 995	10 965	7 980	9 600	10 408	11 435	8 332	10 034	10 737	11 806	8 573	10 349	10 987	12 041	8 928	10 719	11 448	12 566	9 291	11 159	11 704	12 847	9 495	11 410	11 910,40	13 073,80	10 280,30	11 607,50	13 160,20	14 344,60	11 317,80	12765,40	14 476	15 779	12 450	14 042	15 094	16 452	12 981	14 641	16 535	18 023	14 220	16 039	19 329	21 069	16 623	18 749		
Южный федеральный округ																																																										
Республика Адыгея	6 158	6 596	5 093	6 124	6 896	7 379	5 677	6 893	8 375	8 949	6 883	8 427	8 623	9 209	7 084	8 697	8 909	9 513	7 321	8 988	8 947	9 551	7 346	9 045	9 315	9 934	7 654	9 442	9 722	10 345	7 949	9 980	9 779	10 404	7 981	10 060	10 882	11 861	9 359	10 925	11 970	13 047	10 295	12 018	12 363	13 476	10 632	12 415	13 290	14 486	11 429	12 912	15 250	16 623	13 115	14 793		
Республика Калмыкия	6 871	7 237	5 553	6 771	7 435	7 826	6 002	7 350	8 546	8 964	6 904	8 543	8 422	8 815	6 766	8 504	8 669	9 074	6 966	8 753	9 056	9 466	7 275	9 188	9 888	10 350	7 949	9 983	10 400	10 851	8 307	10 647	10 631	11 083	8 472	10 926	11 768	12 827	10 120	11 866	12 945	14 110	11 132	13 053	13 656	14 885	11 744	13 484	14 835	16 170	12 758	14 390	17 378	18 942	14 945	16 857		
Республика Крым									8 926	9 535	7 345	9 283	9 678	10 348	7 965	10 190	9 602	10 273	7 901	10 139	9 704	10 389	7 990	10 272	10 456	11 195	8 602	10 934	10 851	11 593	8 877	11 499	10 998	11 753	9 546	11 713	12 274	13 379	10 556	12 720	13 501	14 717	11 612	13 992	13 944	15 199	11 992	14 846	14 989	16 338	12 891	15 559	17 201	18 749	14 793	16 685		
